"host_genus_species","Family_Group","sociality","social_score","fam_soc_score","notes","ref"
"Panulirus_argus","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae""","645, 681"
"Panulirus_cygnus","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae""","646, 681"
"Panulirus_interruptus","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae""","647, 681"
"Panulirus_penicillatus","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", ""This species is gregarious and may often be foun in groups of more than 20 individuals of different sizes, in submerged caves and lava tunnels""","681, 699"
"Panulirus_polyphagus","PALINURIDAE","juv_aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", ""juveniles…were observed to be gregarious""","681, 700"
"Sagmariasus_verreauxi","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", ""is the largest of the world's spiny lobsters…is gregarious (less cannibalistic than tropical species)","681, 701"
"Heterocarpus_reedi","PANDALIDAE","aggregates","gregarious","gregarious","""aggregated spatial distribution"", ""when the stock is highly aggregated""","692"
"Pandalopsis_dispar","PANDALIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Pandalus_borealis","PANDALIDAE","aggregates","gregarious","gregarious","berried females, but also somewhat unpredicatable","694"
"Pandalus_hypsinotus","PANDALIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Pandalus_montagui","PANDALIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Plesionika_edwardsii","PANDALIDAE","aggregates","gregarious","gregarious","""P. edwardsii is a gregarious species""","695"
"Plesionika_narval","PANDALIDAE","aggregates","gregarious","gregarious","""large swarms of the pandalid shrimp Plesionika narval inhabiting the cave""","696"
"Astacopsis_gouldi","PARASTACIDAE",NA,"solitary","solitary","Builds burrows, may defend home range, population was in decline due to fishing, probably does not aggregate, but not sure",NA
"Cherax_destructor","PARASTACIDAE","juv_aggregates","ontogenetic_gregarious","ontogenetic_gregarious","""juvenile C. destructor exhibited gregarious behavior, tending to co-occupy burrow and being physically near each other"" but adults have agonistic behaviors","703"
"Cherax_quadricarinatus","PARASTACIDAE","aggregates","gregarious","gregarious","""It is a gregarious and non-aggressive species, amenable to stocking at relatively high densities"" as cited","702"
"Euastacus_armatus","PARASTACIDAE","solitary","solitary","solitary","agonistic","703"
"Paranephrops_planifrons","PARASTACIDAE","solitary","solitary","solitary","aggressive and cannibalistic",NA
"Leptochela_gracilis","PASIPHAEIDAE",NA,"unknown","gregarious","females might be gregarious, but not much info","704"
"Artemesia_longinaris","PENAEIDAE",NA,"unknown","gregarious","unable to find specific info on sociality/aggregation",NA
"Metapenaeopsis_barbata","PENAEIDAE","spawning_aggregates","repro_aggregate","repro_aggregate","another spp in genus ""adults aggregate to spawn""","706"
"Metapenaeus_affinis","PENAEIDAE",NA,"unknown","gregarious","no info on this",NA
"Metapenaeus_dobsoni","PENAEIDAE","juv_aggregates","ontogenetic_gregarious","ontogenetic_gregarious","""postlarvae tend to aggrgate in the close inshore water during monsoon season""","708"
"Metapenaeus_ensis","PENAEIDAE",NA,"unknown","gregarious","another spp in genus forms large schoolsno info on this",NA
"Metapenaeus_joyneri","PENAEIDAE",NA,"unknown","gregarious","another spp in genus forms large schoolsno info on this",NA
"Metapenaeus_monoceros","PENAEIDAE",NA,"unknown","gregarious","another spp in genus forms large schoolsno info on this",NA
"Metapenaeus_stebbingi","PENAEIDAE",NA,"unknown","gregarious","another spp in genus forms large schoolsno info on this",NA
"Parapenaeopsis_hardwickii","PENAEIDAE",NA,"unknown","gregarious","no info on this",NA
"Parapenaeopsis_stylifera","PENAEIDAE","juv_aggregates","ontogenetic_gregarious","ontogenetic_gregarious","""postlarvae tend to aggrgate in the close inshore water during monsoon season""","708"
"Parapenaeopsis_tenella","PENAEIDAE",NA,"unknown","gregarious","no info on this",NA
"Parapenaeus_longirostris","PENAEIDAE","aggregates","gregarious","gregarious","""young of the year and mature females aggregate where retention and enrichment processes occur""","709"
