sp_code,host_genus_species,search_terms,sp_quote,database,years,num_results,path_search_results,notes
PAA,Palaemon_adspersus,"""Palaemon adspersus"" OR ""Cancer squilla"" OR "" Leander adspersus"" OR "" Leander brandti"" OR "" Leander rectirostris"" OR "" Palaemon communis"" OR "" Palaemon fabricii"" OR "" Palaemon foliirostris"" OR "" Palaemon imbellis"" OR "" Palaemon rectirostris"" OR "" Palaemon leachii"" OR "" Palaemon squilla""","""Palaemon adspersus""","all, title",1864-2017,50,2,NA
PVK,Palaemon_gravieri,"""Palaemon gravieri"" OR ""Leander gravieri""          ","""Palaemon gravieri""","all, title",1864-2017,3,0,NA
PMZ,Palaemon_macrodactylus,"""Palaemon macrodactylus""           ","""Palaemon macrodactylus""","all, title",1864-2017,32,3,NA
OUI,Palaemon_pacificus,"""Palaemon pacificus"" OR ""Leander okiensis"" OR "" Leander pacificus""         ","""Palaemon pacificus""","all, title",1864-2017,12,0,NA
PMW,Palaemon_paucidens,"""Palaemon paucidens""           ","""Palaemon paucidens""","all, title",1864-2017,16,1,NA
OSK,Palaemon_serrifer,"""Palaemon serrifer"" OR ""Leander fagei"" OR "" Leander serrifer""         ","""Palaemon serrifer""","all, title",1864-2017,1,2,NA
OXH,Palaemon_xiphias,"""Palaemon xiphias"" OR ""Leander xiphias"" OR "" Palaemon crenulatus"" OR "" Palaemon sogiontii"" OR "" Palemon trisetaceus"" OR "" Palemon xiphias""      ","""Palaemon xiphias""","all, title",1864-2017,3,0,NA
MPQ,Palaemonetes_paludosus,"""Palaemonetes paludosus""           ","""Palaemonetes paludosus""","all, title",1864-2017,14,11,NA
SLO,Palinurus_elephas,"""Palinurus elephas"" OR ""Astacus elephas""          ","""Palinurus elephas""","all, title",1864-2017,57,0,NA
SLS,Palinurus_gilchristi,"""Palinurus gilchristi""           ","""Palinurus gilchristi""","all, title",1864-2017,11,0,NA
NDD,Pandalopsis_dispar,"""Pandalopsis dispar""           ","""Pandalopsis dispar""","all, title",1864-2017,6,1,NA
PRA,Pandalus_borealis,"""Pandalus borealis"" OR ""Dymas typus"" OR "" Pandalus borealis "" OR "" Pandalus edinticulatus""        ","""Pandalus borealis""","all, title",1864-2017,190,23,NA
PYX,Pandalus_hypsinotus,"""Pandalus hypsinotus""           ","""Pandalus hypsinotus""","all, title",1864-2017,8,1,NA
AES,Pandalus_montagui,"""Pandalus montagui"" OR ""Astacus maculatus"" OR "" Boreocaris mobiusi"" OR "" Pandalus annulicornis"" OR "" Pandalus leptorhynchus"" OR "" Pandalus levigatus""      ","""Pandalus montagui""","all, title",1864-2017,14,1,NA
SLC,Panulirus_argus,"""Panulirus argus"" OR ""Palinurus americanus"" OR "" Palinurus argus"" OR "" Palinurus ricordi""        ","""Panulirus argus""","all, title",1864-2017,360,50,NA
LOA,Panulirus_cygnus,"""Panulirus cygnus"" OR ""Panulirus longipes cygnus""          ","""Panulirus cygnus""","all, title",1864-2017,140,8,NA
NUT,Panulirus_interruptus,"""Panulirus interruptus"" OR ""Palinurus interruptus""          ","""Panulirus interruptus""","all, title",1864-2017,143,5,NA
NUP,Panulirus_penicillatus,"""Panulirus penicillatus"" OR ""Astacus penicillatus""          ","""Panulirus penicillatus""","all, title",1864-2017,20,1,NA
LMS,Panulirus_polyphagus,"""Panulirus polyphagus"" OR ""Cancer polyphagus"" OR "" Palinurus fasciatus"" OR "" Panulirus fasciatus"" OR "" Panulirus orientalis""       ","""Panulirus polyphagus""","all, title",1864-2017,8,0,NA
KCD,Paralithodes_camtschaticus,"""Paralithodes camtschaticus"" OR ""Lithodes japonicus"" OR "" Lithodes spinosissimus"" OR "" Maja camtschatica"" OR "" Paralithodes camtschatica"" OR "" Paralithodes rostrofalcatus""      ","""Paralithodes camtschaticus""","all, title",1864-2017,192,15,NA
KCI,Paralithodes_platypus,"""Paralithodes platypus""           ","""Paralithodes platypus""","all, title",1864-2017,26,14,NA
NFF,Paranephrops_planifrons,"""Paranephrops planifrons""           ","""Paranephrops planifrons""","all, title",1864-2017,21,0,NA
NAW,Parapenaeopsis_hardwickii,"""Parapenaeopsis hardwickii"" OR ""Parapenaeopsis cultirostris""          ","""Parapenaeopsis hardwickii""","all, title",1864-2017,18,0,NA
NAY,Parapenaeopsis_stylifera,"""Parapenaeopsis stylifera"" OR ""Penaeus stylifera""          ","""Parapenaeopsis stylifera""","all, title",1864-2017,15,9,NA
NIT,Parapenaeopsis_tenella,"""Parapenaeopsis tenella""           ","""Parapenaeopsis tenella""","all, title",1864-2017,0,0,NA
DPS,Parapenaeus_longirostris,"""Parapenaeus longirostris"" OR ""Penaeus bocagei"" OR "" Penaeus lividus"" OR "" Penaeus longirostris"" OR "" Peneus cocco""       ","""Parapenaeus longirostris""","all, title",1864-2017,101,5,NA
ABS,Penaeus_aztecus,"""Penaeus aztecus"" OR ""Farfantepenaeus aztecus""          ","""Penaeus aztecus""","all, title",1864-2017,151,18,NA
PNB,Penaeus_brasiliensis,"""Penaeus brasiliensis"" OR ""Farfantepenaeus brasiliensis""          ","""Penaeus brasiliensis""","all, title",1864-2017,42,10,NA
YPS,Penaeus_californiensis,"""Penaeus californiensis"" OR ""Farfantepenaeus californiensis""          ","""Penaeus californiensis""","all, title",1864-2017,59,13,NA
APS,Penaeus_duorarum,"""Penaeus duorarum"" OR ""Farfantepenaeus duorarum""          ","""Penaeus duorarum""","all, title",1864-2017,100,9,NA
PNI,Penaeus_indicus,"""Penaeus indicus"" OR ""Fenneropenaeus indicus"" OR "" Palaemon longicornis""        ","""Penaeus indicus""","all, title",1864-2017,269,111,NA
KUP,Penaeus_japonicus,"""Penaeus japonicus"" OR ""Marsupenaeus japonicas "" OR "" Penaeus canaliculatus""         ","""Penaeus japonicus""","all, title",1864-2017,400,280,NA
TGS,Penaeus_kerathurus,"""Penaeus kerathurus"" OR ""Alpheus caramote"" OR "" Alpheus punctulatus"" OR "" Alpheus trisulcatus"" OR "" Cancer kerathurus"" OR "" Melicertus kerathurus"" OR "" Melicertus tigrinus"" OR "" Palaemon sulcatus"" OR "" Penaeus trisulcatus "" OR "" Peneus cristatus"" OR "" Peneus mars"" ","""Penaeus kerathurus""","all, title",1864-2017,70,1,NA
WKP,Penaeus_latisulcatus,"""Penaeus latisulcatus"" OR ""Melicertus latisulcatus""          ","""Penaeus latisulcatus""","all, title",1864-2017,33,5,NA
ELY,Penaeus_longistylus,"""Penaeus longistylus"" OR ""Melicertus longistylus"" OR "" Penaeus caesius"" OR "" Penaeus jejunus""        ","""Penaeus longistylus""","all, title",1864-2017,3,1,NA
PBA,Penaeus_merguiensis,"""Penaeus merguiensis"" OR ""Fenneropenaeus merguiensis""          ","""Penaeus merguiensis""","all, title",1864-2017,273,52,NA
GIT,Penaeus_monodon,"""Penaeus monodon"" OR ""Penaeus bubulus"" OR "" Penaeus carinatus"" OR "" Penaeus coeruleus"" OR "" Penaeus durbani"" OR "" Penaeus semisulcatus "" OR "" Penaeus tahitensis""     ","""Penaeus monodon""","all, title",1864-2017,2834,1958,NA
SOP,Penaeus_notialis,"""Penaeus notialis"" OR ""Farfantepenaeus notialis""          ","""Penaeus notialis""","all, title",1864-2017,85,2,NA
PPS,Penaeus_paulensis,"""Penaeus paulensis"" OR ""Farfantepenaeus paulensis""          ","""Penaeus paulensis""","all, title",1864-2017,148,7,NA
TIP,Penaeus_semisulcatus,"""Penaeus semisulcatus"" OR ""Penaeus ashiaka"" OR "" Penaeus manilensis""         ","""Penaeus semisulcatus""","all, title",1864-2017,261,29,NA
PST,Penaeus_setiferus,"""Penaeus setiferus"" OR ""Cancer setiferus"" OR "" Litopenaeus setiferus"" OR "" Paeneus orbignyanus"" OR "" Penaeus fluviatilis"" OR "" Penaeus gracilirostris""      ","""Penaeus setiferus""","all, title",1864-2017,258,33,NA
PNS,Penaeus_stylirostris,"""Penaeus stylirostris"" OR ""Litopenaeus stylirostris""          ","""Penaeus stylirostris""","all, title",1864-2017,235,137,NA
PNU,Penaeus_subtilis,"""Penaeus subtilis"" OR ""Farfantepenaeus subtilis""          ","""Penaeus subtilis""","all, title",1864-2017,43,2,NA
PNV,Penaeus_vannamei,"""Penaeus vannamei"" OR ""Litopenaeus vannamei""          ","""Penaeus vannamei""","all, title",1864-2017,4041,1668,NA
UIS,Plagusia_depressa,"""Plagusia depressa"" OR ""Cancer depressa"" OR "" Plagusia depressa depressa"" OR "" Plagusia gracilis"" OR "" Plagusia sayi""       ","""Plagusia depressa""","all, title",1864-2017,12,0,NA
LAA,Pleoticus_muelleri,"""Pleoticus muelleri"" OR ""Parartemesia carinata"" OR "" Philonicus mulleri""         ","""Pleoticus muelleri""","all, title",1864-2017,80,3,NA
LKW,Plesionika_edwardsii,"""Plesionika edwardsii"" OR ""Pandalus longirostris"" OR "" Pandalus edwardsii"" OR "" Pandalus guerinii"" OR "" Plesionika longirostris""       ","""Plesionika edwardsii""","all, title",1864-2017,13,0,NA
PVJ,Plesionika_narval,"""Plesionika narval"" OR ""Astacus narual"" OR "" Nisea formosa"" OR "" Palaemon tarentinum"" OR "" Palemon pristis"" OR "" Pandalus escatilis"" OR "" Pandalus stylopus"" OR "" Parapandalus narval""    ","""Plesionika narval""","all, title",1864-2017,20,0,NA
PQG,Pleuroncodes_monodon,"""Pleuroncodes monodon"" OR ""Galathea monodon"" OR "" Grimothea duperreii"" OR "" Munida cokeri""        ","""Pleuroncodes monodon""","all, title",1864-2017,35,2,NA
CRD,Pontastacus_leptodactylus,"""Pontastacus leptodactylus"" OR ""Astacus leptodactylus "" OR "" Astacus leptodactylus kessleri "" OR "" Astacus leptodactylus eichwaldi""        ","""Pontastacus leptodactylus""","all, title",1864-2017,762,39,NA
SCD,Portunus_pelagicus,"""Portunus pelagicus"" OR ""Cancer cedonulli"" OR "" Cancer pelagicus"" OR "" Lupa pelagica"" OR "" Neptunus pelagicus"" OR "" Portunus pelagicus sinensis"" OR "" Portunus denticulatus""     ","""Portunus pelagicus""","all, title",1864-2017,422,51,NA
UNG,Portunus_sanguinolentus,"""Portunus sanguinolentus"" OR ""Cancer raihoae"" OR "" Lupa sanguinolentus""         ","""Portunus sanguinolentus""","all, title",1864-2017,103,7,NA
GAZ,Portunus_trituberculatus,"""Portunus trituberculatus"" OR ""Neptunus trituberculatus""          ","""Portunus trituberculatus""","all, title",1864-2017,546,83,NA
RQA,Procambarus_alleni,"""Procambarus alleni""           ","""Procambarus alleni""","all, title",1864-2017,12,2,NA
RCW,Procambarus_clarkii,"""Procambarus clarkii"" OR ""Cambarus clarkii""          ","""Procambarus clarkii""","all, title",1864-2017,1888,254,NA
RKX,Procambarus_fallax,"""Procambarus fallax""           ","""Procambarus fallax""","all, title",1864-2017,28,10,NA
TKN,Rimapenaeus_constrictus,"""Rimapenaeus constrictus"" OR ""Parapenaeus constrictus"" OR "" Penaeopsis agassizii"" OR "" Penaeus constrictus"" OR "" Trachypenaeus constrictus""       ","""Rimapenaeus constrictus""","all, title",1864-2017,8,0,NA
KKN,Romaleon_antennarium,"""Romaleon antennarium"" OR ""Cancer antennarius "" OR "" Cancer antennarium""         ","""Romaleon antennarium""","all, title",1864-2017,51,0,NA
