"pathogens","acanth","amoeba","api","bacteria_extra","bacteria_intra","rhiz","branch","cestode","ciliate","copepod","dino","fungi","mite","haplo","isopods","leech","meso","microsp","nematode","nematomorpha","nemertean","oomycete","paramixid","trematode","viruses","direct","complex","obligate","opportunist","macro","micro"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
10,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,10,0,1,9,2,8
10,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,9,1,6,4,6,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
14,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,1,9,5,7,7,5,9
5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,5,0,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,0,3,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
